title,genres,popularity,release_date,revenue
Beauty from Pain,"[10749, 18]",16.4965,2025-12-18,
Finding Nemo,"[16, 10751, 12]",15.3335,2003-05-30,
Iron Man 3,"[28, 12, 878]",16.2818,2013-04-18,
Anora,"[18, 35, 10749]",14.0668,2024-10-14,"$14,146,804"
Anora,"[18, 35, 10749]",14.0668,2024-10-14,"$14,146,804"
Anora,"[18, 35, 10749]",14.0668,2024-10-14,"$14,146,804"
Up,"[16, 35, 10751, 12]",17.3541,2009-05-28,
The King of Snipers,"[28, 80, 35, 10752]",14.9622,2023-01-24,
Fire Doors,[99],14.1893,1976-01-01,
Big Hero 6,"[12, 10751, 16, 28, 35]",15.1708,2014-10-24,
Prisoner of War,"[28, 10752, 53, 36]",15.3702,2025-09-19,
Mole's world,[18],10.5925,2025-06-05,
The Martian,"[878, 18, 12]",16.1848,2015-09-30,
The Terminator,"[28, 53, 878]",19.8641,1984-10-26,
The Fantastic Journey,"[878, 12, 14, 10770]",14.657,1977-02-03,
Gladiator,"[28, 18, 12]",16.6405,2000-05-04,
The Secret Agent,"[80, 18, 53]",15.2368,2025-07-23,
Whiplash,"[18, 10402, 53]",16.2803,2014-10-10,
Oldboy,"[18, 53, 9648, 28]",15.7313,2003-11-21,
Harry Potter and the Prisoner of Azkaban,"[12, 14]",15.014,2004-05-31,
It,"[27, 53, 18]",14.9362,2017-09-06,
Your Fault,"[18, 10749]",16.8968,2024-12-26,
Harry Potter and the Deathly Hallows: Part 1,"[12, 14]",15.0785,2010-11-17,
Thor: Ragnarok,"[28, 12, 878, 35]",15.8237,2017-10-02,
Predator,"[878, 28, 12, 53]",15.808,1987-06-12,
Border 2,"[28, 18, 10752]",15.802,2026-01-23,
The Martial Arts Kid,"[28, 18, 10751]",15.7768,2015-04-11,
The Ugly Stepsister,"[27, 35, 18]",15.7681,2025-03-07,
Aladdin,"[12, 14, 10749, 10751]",15.7545,2019-05-22,
Inglourious Basterds,"[18, 53, 10752]",15.7393,2009-08-02,
Oldboy,"[18, 53, 9648, 28]",15.7313,2003-11-21,
Bad Boys: Ride or Die,"[28, 35, 80]",15.7013,2024-06-05,"$193,573,217"
Bad Boys: Ride or Die,"[28, 35, 80]",15.7013,2024-06-05,"$193,573,217"
Bad Boys: Ride or Die,"[28, 35, 80]",15.7013,2024-06-05,"$193,573,217"
Conclave,"[18, 53]",15.6851,2024-10-25,"$31,289,705"
Conclave,"[18, 53]",15.6851,2024-10-25,"$31,289,705"
Conclave,"[18, 53]",15.6851,2024-10-25,"$31,289,705"
From Straight A's to XXX,"[18, 10770]",15.6744,2017-02-11,
The Voyeur,"[18, 10749]",15.6728,1994-01-27,
Wind Chill,"[18, 27, 53]",15.6416,2007-05-18,
M3GAN 2.0,"[28, 878, 53]",15.6313,2025-06-25,
Don't Look Up,"[35, 878, 18]",15.5991,2021-12-08,
Saving Silverman,"[35, 80, 10749]",15.5938,2001-02-09,
The Creator,"[878, 28, 12]",15.5931,2023-09-27,
The Hypocrite,[18],15.5561,1921-06-01,
Fifty Shades Freed,"[18, 10749]",15.4166,2018-01-17,
Elio,"[10751, 35, 12, 16, 878]",15.378,2025-06-18,
Prisoner of War,"[28, 10752, 53, 36]",15.3702,2025-09-19,
Gap,[],15.3653,2008-02-22,
Mantis,"[28, 80, 53]",15.3396,2025-09-25,
Finding Nemo,"[16, 10751, 12]",15.3335,2003-05-30,
森中有林,"[18, 10749, 80]",15.3286,2026-05-01,
Rita,[18],15.2501,2024-03-22,
Deadpool,"[28, 12, 35]",15.2477,2016-02-09,
Tangled,"[16, 10751, 12]",15.2463,2010-11-24,
Mufasa: The Lion King,"[12, 10751, 16]",15.2438,2024-12-18,"$128,143,945"
Mufasa: The Lion King,"[12, 10751, 16]",15.2438,2024-12-18,"$128,143,945"
Mufasa: The Lion King,"[12, 10751, 16]",15.2438,2024-12-18,"$128,143,945"
The Secret Agent,"[80, 18, 53]",15.2368,2025-07-23,
Hacksaw Ridge,"[18, 36, 10752]",15.226,2016-10-07,
Road House,"[28, 53, 18]",15.2255,2024-03-08,
Howl's Moving Castle,"[14, 16, 12]",15.1885,2004-09-09,
The Great Flood,"[878, 12, 18]",15.1884,2025-09-18,
Fast Forever,"[28, 80, 53]",15.1764,2028-03-17,
Ghost in the Shell,"[878, 18, 28]",15.1764,2017-03-29,
Big Hero 6,"[12, 10751, 16, 28, 35]",15.1708,2014-10-24,
Venom,"[878, 28]",15.1638,2018-09-28,
"The Rise of the Red Hot Chili Peppers: Our Brother, Hillel","[99, 10402]",15.159,2025-05-21,
Nirvanna the Band the Show the Movie,"[878, 12, 35]",15.1483,2026-02-13,
The Maze Runner,"[28, 9648, 878, 53]",15.1414,2014-09-10,
Harry Potter and the Order of the Phoenix,"[12, 14]",15.1342,2007-07-08,
Tee Yai: Born to Be Bad,"[80, 28, 18]",15.1252,2025-11-12,
Black Phone 2,"[27, 53]",15.118,2025-10-15,
Whereabouts of Sound,[99],15.1068,2022-09-03,
Ghost Stories,[27],15.0835,1982-01-01,
Harry Potter and the Deathly Hallows: Part 1,"[12, 14]",15.0785,2010-11-17,
Ratatouille,"[16, 35, 10751, 14]",15.0236,2007-06-28,
Disruption: Climate. Change.,[99],15.0165,2014-09-07,
Harry Potter and the Prisoner of Azkaban,"[12, 14]",15.014,2004-05-31,
Scarface,"[28, 80, 18]",14.9638,1983-12-09,
The King of Snipers,"[28, 80, 35, 10752]",14.9622,2023-01-24,
It,"[27, 53, 18]",14.9362,2017-09-06,
Ice Road: Vengeance,"[28, 53, 18]",14.8755,2025-06-27,
The Empire Strikes Back,"[12, 28, 878]",14.872,1980-05-20,
After We Fell,"[10749, 18]",14.7764,2021-09-01,
Mad Max: Fury Road,"[28, 12, 878]",14.713,2015-05-13,
Girl in the Basement,"[53, 80, 10770]",14.6868,2021-02-27,
Karate Kid: Legends,"[28, 12, 18]",14.6677,2025-05-08,
The Fantastic Journey,"[878, 12, 14, 10770]",14.657,1977-02-03,
Accused,"[53, 9648, 18]",14.6488,2026-02-27,
Deadpool 2,"[28, 35, 12]",14.6483,2018-05-15,
Mickey Blue Eyes,"[35, 80, 10749]",14.6273,1999-08-16,
Sentimental Value,[18],14.608,2025-08-20,
Border Hunters,"[28, 53]",14.5907,2025-10-20,
Agent Zero,"[28, 53]",14.5756,2025-08-06,
The Passion of the Christ,[18],14.5646,2004-02-25,
Godzilla x Kong: The New Empire,"[28, 12, 878]",14.5495,2024-03-27,"$196,350,016"
Godzilla x Kong: The New Empire,"[28, 12, 878]",14.5495,2024-03-27,"$196,350,016"
Godzilla x Kong: The New Empire,"[28, 12, 878]",14.5495,2024-03-27,"$196,350,016"
Toy Story 3,"[16, 10751, 35]",14.4672,2010-06-16,
Saving Private Ryan,"[10752, 18, 36]",14.4523,1998-07-24,
The Truman Show,"[35, 18]",14.448,1998-06-04,
Born on the Fourth of July,"[18, 10752]",14.3866,1989-12-20,
28 Years Later,"[27, 53, 878]",14.3781,2025-06-18,
The Furious,"[28, 80, 53]",14.3213,2026-05-29,
The Fifth Element,"[878, 28, 12]",14.3128,1997-05-02,
The Hangover,[35],14.2579,2009-06-02,
Fire Doors,[99],14.1893,1976-01-01,
I Live My Life,"[35, 18]",14.1675,1935-10-04,
The Handmaiden,"[53, 18, 10749]",14.1629,2016-06-01,
Way... Way Out,"[35, 878]",14.1482,1966-10-26,
